imdb_id	title	runtime_mins	primary_genre	directors	writers	casts
9127488	Postal	77	Comedy	nm5462851	nm5462851	nm6464266,nm10211702,nm4613008,nm10211705
9129166	Sherdil	148	Action	nm6254427	nm10190415	nm2671989,nm4908063,nm3356469,nm3856915
9130810	Die Kinder der Toten	90	Mystery	nm10232225,nm10191558	nm0420548	nm10671139,nm10671137,nm10427059,nm2244961
9131946	Dolceroma	105	Comedy	nm1760853	nm0180922,nm0110292,nm1760853	nm3080119,nm0053230,nm6188249,nm0314358
9133200	Long Time No See	74	Drama	nm1496024	nm1496024	nm3128226,nm0734004,nm0349749,nm0163223
9133370	Gli uomini d'oro	110	Crime	nm1970601	nm1970601,nm1192470,nm2680680,nm2543818	nm0209948,nm0502412,nm0603737,nm5391489
9133376	Treasure Trouble	85	Adventure	nm4220767	nm4220767	nm7287133,nm1911167,nm1678610,nm4873809
9133378	Premature	90	Drama	nm2165614	nm2165614,nm3136974	nm3136974,nm5264241,nm8979379,nm10192486
9133718	Brothers Grimm, Sisters Wild	61	History	nm2056659	nm2056659,nm2058139	nm1824447,nm6208783,nm3246106,nm4497431
9134216	Playing with Fire	96	Comedy	nm0275698	nm1763428,nm1073238	nm1078479,nm1221047,nm0000491,nm0541932
9135260	Dark Light	90	Horror	nm1754478	nm1754478	nm7289044,nm7428291,nm0111029,nm3136976
9135272	Eminence Hill	100	Western	nm1757671	nm1757671,nm1761600	nm0179224,nm0000663,nm0000448,nm1752714
9135722	Kimi wa Tsukiyo ni Hikarikagayaku	101	Drama	nm2620778	\N	nm3065061,nm3737209,nm1398053,nm2314190
9135800	Brother's Day	165	Action	nm3175230	nm3175230	nm1335387,nm8468959,nm7371790,nm6995220
9136024	A Great Lamp	76	Drama	nm6848106	nm2264404,nm6848106,nm5664979	nm3438077,nm10194900,nm5828189,nm0783806
9137056	Eiga: Toshimaen	81	Horror	nm0847126	nm0847126	nm5620807,nm5880581,nm10262250,nm4244949
9140598	Winona	87	Comedy	nm0903838	nm0903838	nm4760039,nm3764981,nm2832799,nm7346682
